recall,size,M
0.5801299999999996,640877.306640625,16
0.6143100000000006,703288.107421875,24
0.6205599999999997,765751.470703125,32
0.7894699999999991,828218.345703125,40
0.8382600000000001,890704.283203125,48
0.8622700000000018,953192.564453125,56
0.8773600000000018,1015685.958984375,64
0.887190000000001,1078182.052734375,72
0.8977100000000025,1140668.333984375,80
0.8942400000000031,1203150.427734375,88
0.8960100000000025,1265641.083984375,96
0.9006700000000019,1328153.083984375,104
0.9064200000000012,1390642.021484375,112
0.906840000000002,1453143.802734375,120
0.9078400000000036,1515642.958984375,128
