recall,size,bits
0.09831,7844.5908203125,64
0.1981700000000001,15689.0908203125,128
0.2724600000000005,23533.5908203125,192
0.3193000000000004,31378.0908203125,256
0.3812699999999999,39222.5908203125,320
0.4095200000000003,47067.0908203125,384
0.4435899999999998,54911.5908203125,448
0.4732600000000009,62756.0908203125,512
0.48566,70600.5908203125,576
0.5156599999999999,78445.0908203125,640
0.5316199999999996,86289.5908203125,704
0.5521300000000003,94134.0908203125,768
0.5599099999999994,101978.5908203125,832
0.5741099999999997,109823.0908203125,896
0.5859599999999999,117667.5908203125,960
